contrast,characteristic,FP_mean,TN_mean,cliffs_delta,p_raw,n_err,n_ref,p_holm,FN_mean,TP_mean
FN_vs_TP,indirect_only_no_direct,,,0.12455553706253508,0.01299136586448221,106,1247,0.2728186831541264,0.5471698113207547,0.42261427425821974
FN_vs_TP,n_words_full,,,-0.11643037629934483,0.04632758010125426,106,1247,0.7412412816200682,1382.9182389937105,1506.5399625768512
FN_vs_TP,n_chars_full,,,-0.1141153863612292,0.05084589105151741,106,1247,0.7626883657727612,9143.674528301886,9942.098904036353
FN_vs_TP,unrelated_terms_seen,,,0.1068072808703151,0.04230544369848524,106,1247,0.719192542874249,0.9669811320754716,0.735765838011227
FN_vs_TP,has_indirect_term_seen,,,-0.10291113767381332,0.025334286891508895,106,1247,0.5066857378301779,0.6132075471698113,0.7161186848436247
FN_vs_TP,days_before_index,,,0.09979422311661201,0.08769094776547184,106,1247,1.0,464.1157036163522,348.7862748373875
FN_vs_TP,days_in_pkl,,,0.09979422311661201,0.08769094776547184,106,1247,1.0,464.1157036163522,348.7862748373875
FN_vs_TP,anx_coded_this_adm,,,-0.08796205232179877,0.03329823806603305,106,1247,0.5993682851885949,0.7075471698113207,0.7955092221331195
FN_vs_TP,frac_note_seen,,,0.0725817433538607,0.2142386887644513,106,1247,1.0,0.2408136427353974,0.22639760516155247
FN_vs_TP,n_sections,,,-0.03619252243119331,0.535548578230034,106,1247,1.0,39.078616352201266,39.690056134723335
FN_vs_TP,has_famsoc_section,,,0.026796386800018057,0.33279852477403615,106,1247,1.0,0.9433962264150944,0.9165998396150762
FN_vs_TP,has_med_term_seen,,,0.017725560212434432,0.6723389436267764,106,1247,1.0,0.2358490566037736,0.2181234963913392
FN_vs_TP,med_terms_seen,,,0.014752386860540811,0.7271490843779905,106,1247,1.0,0.31289308176100633,0.30593424218123494
FN_vs_TP,anx_in_famsoc,,,-0.013821851689337472,0.35394573337676083,106,1247,1.0,0.009433962264150943,0.023255813953488372
FN_vs_TP,note_index_within_patient,,,-0.01312584164258368,0.7775396801054615,106,1247,1.0,0.2169811320754717,0.30245923549852977
FN_vs_TP,n_notes_patient,,,0.00569669092614733,0.9060128130000203,106,1247,1.0,1.5660377358490567,1.6375300721732158
FN_vs_TP,anx_all_negated,,,-0.0041987562603077455,0.7177712644649059,106,1247,1.0,0.009433962264150943,0.0136327185244587
FN_vs_TP,n_tokens_model_saw,,,0.001603849238171584,0.6814193147738257,106,1247,1.0,512.0,511.9767441860465
FN_vs_TP,anx_only_in_family_or_social,,,-0.000801924619085792,0.7727314036622414,106,1247,1.0,0.0,0.0008019246190858059
FN_vs_TP,days_since_patient_first_note,,,0.0007035753733488637,0.9880627343894369,106,1247,1.0,113.25471698113208,140.3222400427693
